rowid	mod-7	mod-12	mod-13	mod-14	mod-23	mod-109	mod-110	mod-111	mod-114	mod-127	mod-128	mod-131	CD34	CD68	CNP	GFAP	MBP	OLIG2	PC1
projid10536568	0.006517	0.059457	0.020364	0.053908	0.076711	-0.062755	-0.116367	-0.046869	-0.074292	0.037376	-0.032483	0.073277	-0.083555	-0.044801	-0.111756	0.036775	-0.048968	-0.131781	-0.087427
projid10551157	-0.001171	-0.037974	-0.044139	0.002196	0.002582	0.048473	0.075084	0.068820	0.001045	0.009404	0.012946	0.030678	0.031694	0.008712	0.029037	-0.016537	-0.022704	0.110550	0.026268
projid10557081	-0.031497	0.028954	0.042854	0.018217	0.053050	-0.021190	-0.008247	0.000970	-0.043279	0.059674	0.090118	0.043216	0.007712	-0.030251	0.014625	-0.044875	0.005147	0.003475	-0.015288
projid10577337	-0.024013	-0.072936	-0.033169	-0.033667	-0.051201	0.008874	0.019262	0.043938	0.058591	0.005220	-0.029289	-0.028857	0.060518	0.015940	0.034449	0.071113	-0.033221	-0.041129	0.053591
projid10589255	-0.001106	0.014411	0.000728	-0.032110	0.035879	0.004307	0.040737	0.015623	-0.037656	0.018658	0.053045	0.007943	0.002801	-0.054115	0.049703	-0.071569	0.028053	0.002275	-0.006478
projid10669174	0.071807	-0.096194	-0.147534	-0.137367	-0.108764	0.115423	0.008126	0.089200	0.162062	-0.106029	-0.073804	-0.115097	0.045518	0.054428	-0.024806	0.065927	0.026156	0.071901	0.106998
projid10684501	0.016516	0.013548	0.016312	0.003606	-0.029548	-0.007194	0.021143	-0.002846	-0.010767	-0.002919	-0.029495	-0.020874	-0.049059	-0.010339	0.028037	0.045523	-0.029272	0.042205	-0.000975
projid10850171	0.001166	-0.014068	0.003470	-0.061673	-0.063983	0.010816	0.085236	0.022688	-0.001487	-0.058625	-0.053739	-0.079837	0.013491	-0.057480	0.085912	0.008303	0.035805	0.078995	0.028553
projid10866165	-0.025483	0.019939	-0.019859	0.019524	0.017061	-0.025852	-0.017855	-0.006159	-0.001272	-0.009881	-0.023625	-0.000243	-0.059952	0.047313	-0.032763	0.036032	0.039814	-0.047332	-0.013056
projid10885370	0.008209	-0.045668	-0.036972	-0.049416	-0.040111	0.038576	0.007727	0.037079	0.044367	-0.017489	-0.020814	-0.028202	0.018477	0.011932	0.007855	-0.022430	-0.074871	0.036489	0.049731
projid10901987	-0.099430	-0.002794	0.049527	0.061803	0.046843	-0.065371	0.013994	-0.009136	-0.043497	0.094709	0.038762	0.104245	0.063654	0.037998	0.032126	-0.003570	-0.011441	0.008070	-0.007228
projid10929637	-0.025336	-0.026221	0.000494	0.017759	-0.000993	-0.013065	0.022342	0.029502	-0.033611	0.041964	-0.009430	0.028075	-0.004582	0.047409	0.011091	-0.009793	0.065253	0.022827	0.005212
projid11157783	0.011244	-0.084019	-0.083933	-0.068039	-0.072309	0.077034	0.095565	0.070862	0.058720	-0.062581	-0.067129	-0.064475	-0.107333	-0.008605	0.072988	0.046357	0.025792	0.013116	0.070922
projid11165535	-0.091776	-0.050435	-0.023256	0.013135	0.012549	-0.032140	0.009025	0.029763	0.007902	0.047347	0.014967	0.056201	-0.081697	0.044420	-0.008139	-0.028668	-0.021539	-0.016682	0.029628
projid11200645	0.056574	-0.015066	-0.050662	-0.020097	-0.008751	0.061763	0.058091	0.023354	0.034288	-0.058100	0.003612	-0.031540	0.043264	-0.010918	0.033272	0.030853	0.060528	0.030190	0.008703
projid11259716	-0.028876	0.001448	0.005338	-0.029864	0.000973	0.010284	0.030462	0.034207	-0.027690	0.021778	0.022356	0.007750	0.011293	-0.016700	0.057063	0.019786	0.005385	0.064669	0.027585
projid11302830	-0.065693	-0.033247	-0.001189	-0.029507	-0.003253	-0.014422	0.020522	0.035909	0.022362	0.018182	0.015613	0.011344	0.014854	0.044945	0.031597	0.095569	-0.013071	0.000403	0.044750
projid11310844	-0.041140	0.027876	0.050950	0.056229	-0.024859	-0.075082	-0.031690	-0.067757	-0.025519	-0.008774	-0.080006	-0.011814	-0.058590	-0.043375	-0.035028	-0.023154	0.003374	-0.064781	-0.034301
projid11319389	0.096082	0.004237	-0.013639	-0.060555	-0.075760	0.054508	0.049767	-0.015769	0.026628	-0.099952	-0.081958	-0.123721	0.075098	-0.048074	0.050608	0.044704	0.080497	0.022495	0.009060
projid11326252	0.000969	0.031620	0.041922	0.014913	0.003670	-0.023943	-0.006989	-0.031483	-0.020017	-0.004706	0.006414	-0.004386	-0.047472	-0.024539	0.019796	-0.041279	0.001541	0.032202	-0.018757
